,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
369,1924485,0.76,False,De Pijp - Rivierenbuurt,52.35593,4.89208,Private room,4,1,4,1,95.0,3,1125,True,0,0,4.92,True,23.75,285.0,0.05,0.12,0.14,4.99,0.0,474.972602739726
371,1927634,0.81,False,Oostelijk Havengebied - Indische Buurt,52.36807,4.93449,Entire home/apt,4,2,3,14,482.0,8,30,True,0,0,4.6899999999999995,True,120.5,3856.0,0.07,0.16,0.22,10.99,0.0,2368.904109589041
372,1928474,0.44,False,Noord-West,52.4069,4.90168,Entire home/apt,6,3,6,5,130.0,4,21,True,0,0,4.75,False,21.67,520.0,0.07,0.19,0.18,4.99,0.31232876712328766,822.3835616438356
373,1929777,0.8,False,De Pijp - Rivierenbuurt,52.34383,4.89273,Entire home/apt,4,2,2,8,230.0,3,1124,True,0,0,4.97,False,57.5,690.0,0.06,0.16,0.24,4.99,0.0,1150.0
377,1954182,0.2,False,De Baarsjes - Oud-West,52.36984,4.87213,Entire home/apt,2,1,1,5,150.0,14,365,True,0,0,4.9,False,75.0,2100.0,0.09,0.14,0.23,4.99,0.0,750.0
378,1954308,0.0,False,De Baarsjes - Oud-West,52.37484,4.86096,Entire home/apt,3,2,2,7,130.0,4,1125,True,0,0,4.71,False,43.33,520.0,0.06,0.11,0.13,4.99,0.0,650.0
379,1957337,0.0,False,Oud-Oost,52.35818,4.91959,Entire home/apt,4,2,3,8,275.0,3,14,True,0,0,5.0,False,68.75,825.0,0.09,0.19,0.18,4.99,0.06027397260273973,1375.0
381,1964479,0.56,False,Oud-Noord,52.38745,4.91972,Entire home/apt,4,2,2,13,350.0,3,1125,True,0,0,4.75,False,87.5,1050.0,0.09,0.08,0.26,4.99,0.28493150684931506,1750.0
382,1977828,0.75,False,Bos en Lommer,52.37567,4.85533,Entire home/apt,3,2,1,1,75.0,3,1125,True,0,0,4.74,False,25.0,225.0,0.07,0.13,0.17,4.99,0.0,519.972602739726
387,2023961,0.0,False,Centrum-West,52.38232,4.88604,Entire home/apt,2,1,1,8,114.0,4,30,True,0,0,4.86,False,57.0,456.0,0.06,0.08,0.2,4.99,0.0,571.2328767123288
388,2065321,0.27,False,De Pijp - Rivierenbuurt,52.35042,4.8922,Entire home/apt,2,1,1,7,170.0,3,15,True,0,1,4.83,False,85.0,510.0,0.08,0.19,0.12,4.99,0.01643835616438356,850.0
389,2074047,1.0,False,Westerpark,52.37292,4.87225,Entire home/apt,4,2,1,12,185.0,6,30,True,0,0,4.95,False,46.25,1110.0,0.07,0.12,0.21,4.99,0.2821917808219178,918.8356164383562
390,2080040,0.5399999999999999,True,Zuid,52.35327,4.84733,Entire home/apt,3,2,2,12,134.0,7,1125,True,9,1,4.51,False,44.67,938.0,0.07,0.07,0.18,4.99,0.4904109589041096,825.5890410958904
391,2080427,1.0,False,Oud-Oost,52.3522,4.91484,Entire home/apt,2,1,1,6,102.0,6,15,True,0,0,4.47,False,51.0,612.0,0.07,0.15,0.15,4.99,0.0,510.0
393,2088011,1.0,False,Oud-Oost,52.36136,4.92817,Entire home/apt,2,1,1,4,150.0,3,30,True,0,1,5.0,False,75.0,450.0,0.06,0.19,0.15,4.99,0.0,750.0
