,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
466,2892186,0.8,False,Oostelijk Havengebied - Indische Buurt,52.36307,4.94322,Entire home/apt,2,1,1,7,165.0,3,28,True,0,2,4.89,False,82.5,495.0,0.07,0.18,0.2,4.99,0.0,825.0
467,2902819,0.71,False,Centrum-Oost,52.37067,4.90373,Entire home/apt,2,1,1,13,260.0,3,30,True,0,0,4.97,False,130.0,780.0,0.13,0.13,0.16,4.99,0.12602739726027398,1300.0
468,2912309,0.78,False,De Pijp - Rivierenbuurt,52.35326,4.90668,Entire home/apt,4,2,2,8,200.0,3,30,True,0,0,4.95,False,50.0,600.0,0.12,0.22,0.27,4.99,0.0547945205479452,1198.0821917808219
469,2921938,0.38,False,De Baarsjes - Oud-West,52.36492,4.85908,Entire home/apt,3,2,4,5,170.0,4,1125,True,3,0,4.91,False,56.67,680.0,0.09,0.14,0.14,4.99,0.10410958904109589,992.8767123287671
471,2955804,0.75,False,Westerpark,52.37486,4.87437,Entire home/apt,2,1,1,4,155.0,3,28,True,0,0,4.8,True,77.5,465.0,0.09,0.19,0.21,4.99,0.0,775.0
472,2956140,0.52,False,De Pijp - Rivierenbuurt,52.35593,4.90072,Private room,2,1,1,7,125.0,3,14,True,7,2,4.79,False,62.5,375.0,0.05,0.14,0.19,4.99,0.7616438356164383,625.0
473,2965812,0.5,False,IJburg - Zeeburgereiland,52.36091,4.97497,Entire home/apt,4,2,2,4,160.0,5,5,True,4,1,4.95,False,40.0,800.0,0.08,0.2,0.15,4.99,0.4849315068493151,800.0
475,2977065,0.16999999999999998,False,Centrum-West,52.37615,4.89001,Entire home/apt,2,1,1,25,700.0,3,21,True,0,1,4.7,True,350.0,2100.0,0.08,0.14,0.27,10.99,0.0,3500.0
476,2981842,1.0,False,De Baarsjes - Oud-West,52.36623,4.85891,Private room,2,1,1,9,212.0,1,1125,True,12,0,4.56,True,106.0,212.0,0.08,0.21,0.21,4.99,0.9013698630136986,1847.123287671233
477,2981853,1.0,False,De Baarsjes - Oud-West,52.36689,4.85891,Private room,2,1,2,10,139.0,1,99,True,8,0,4.63,True,69.5,139.0,0.07,0.16,0.15,4.99,0.8246575342465754,1260.013698630137
478,2981861,1.0,False,De Baarsjes - Oud-West,52.36568,4.85883,Private room,2,1,1,10,128.0,1,1125,True,7,1,4.56,True,64.0,128.0,0.07,0.09,0.15,4.99,0.8767123287671232,1221.7534246575342
479,2981875,1.0,False,De Baarsjes - Oud-West,52.36519,4.86058,Private room,2,1,1,5,190.0,1,1125,True,7,0,4.4,True,95.0,190.0,0.08,0.21,0.2,4.99,0.9123287671232877,1620.945205479452
480,2984018,1.0,False,De Baarsjes - Oud-West,52.36556,4.85867,Private room,2,1,1,2,138.0,1,1125,True,5,0,4.4,True,69.0,138.0,0.05,0.16,0.14,4.99,0.8931506849315068,1318.3287671232877
481,2985952,0.17,False,Oud-Oost,52.35507,4.9114,Entire home/apt,2,1,1,4,99.0,5,30,True,1,0,4.88,False,49.5,495.0,0.04,0.09,0.16,4.99,0.4273972602739726,495.0
484,3004400,0.0,False,Oostelijk Havengebied - Indische Buurt,52.36324,4.93476,Entire home/apt,4,2,3,14,250.0,3,28,True,0,0,4.94,False,62.5,750.0,0.1,0.16,0.23,4.99,0.18082191780821918,1250.0
485,3036290,0.33,False,Westerpark,52.3852,4.87848,Private room,1,1,1,3,60.0,20,1125,True,11,0,4.22,False,60.0,1200.0,0.03,0.08,0.17,2.99,0.7917808219178082,300.0
487,3040900,1.0,False,De Baarsjes - Oud-West,52.3705,4.86328,Entire home/apt,2,1,3,5,130.0,3,30,True,0,0,4.86,False,65.0,390.0,0.07,0.15,0.19,4.99,0.0,650.0
488,3048137,1.0,False,Westerpark,52.37234,4.8673,Entire home/apt,2,1,1,5,80.0,3,60,True,0,0,4.67,False,40.0,240.0,0.05,0.11,0.18,4.99,0.0,448.9178082191781
491,3096518,0.88,False,De Baarsjes - Oud-West,52.36695,4.87465,Entire home/apt,4,2,3,17,425.0,1,30,True,0,0,4.390000000000001,True,106.25,425.0,0.1,0.3,0.15,10.99,0.03287671232876712,2123.931506849315
492,3099026,0.8499999999999999,True,Centrum-Oost,52.364777,4.908362,Private room,2,1,1,6,110.0,3,1125,True,2,9,4.91,False,55.0,330.0,0.06,0.14,0.18,4.99,0.6821917808219178,550.0
493,3111787,0.7799999999999999,True,Centrum-West,52.3765,4.88313,Private room,2,1,1,6,120.0,3,1125,True,2,1,4.85,False,60.0,360.0,0.07,0.16,0.17,4.99,0.4246575342465753,604.8082191780821
494,3113368,0.88,False,Oud-Noord,52.39246,4.93268,Entire home/apt,4,2,2,8,175.0,3,21,True,0,0,4.92,False,43.75,525.0,0.07,0.1,0.19,4.99,0.06301369863013699,924.3150684931506
495,3120537,1.0,False,De Baarsjes - Oud-West,52.36737,4.86018,Private room,2,1,1,5,134.0,1,1125,True,4,1,4.63,True,67.0,134.0,0.05,0.14,0.15,4.99,0.8356164383561644,1260.013698630137
496,3138594,0.89,False,De Baarsjes - Oud-West,52.36998,4.87264,Entire home/apt,4,2,3,8,200.0,3,15,True,1,0,4.85,False,50.0,600.0,0.09,0.13,0.23,4.99,0.0136986301369863,1000.0
499,3163509,0.32000000000000006,False,Centrum-Oost,52.36029,4.90464,Entire home/apt,2,1,3,1,175.0,3,20,True,0,1,4.95,False,87.5,525.0,0.09,0.11,0.14,4.99,0.0,875.0
500,3172327,0.2,False,Oud-Oost,52.35746,4.92205,Entire home/apt,4,2,4,7,140.0,5,28,True,0,0,4.95,False,35.0,700.0,0.07,0.2,0.16,4.99,0.3835616438356164,700.0
501,3174322,0.43999999999999995,False,Centrum-West,52.37867,4.88561,Entire home/apt,4,2,2,16,450.0,5,21,True,0,1,4.62,False,112.5,2250.0,0.12,0.26,0.26,10.99,0.019178082191780823,2250.0
502,3194778,1.0,True,Westerpark,52.37351,4.87087,Entire home/apt,4,2,5,11,250.0,4,180,True,0,0,4.8,False,62.5,1000.0,0.1,0.25,0.23,4.99,0.0,1250.958904109589
503,3206158,0.6,False,Geuzenveld - Slotermeer,52.37746,4.83598,Entire home/apt,4,2,3,13,249.0,3,1125,True,0,0,4.83,False,62.25,747.0,0.06,0.19,0.26,4.99,0.0,1245.0
504,3209240,0.87,False,Zuid,52.35862,4.88608,Entire home/apt,2,1,2,10,109.0,3,1125,True,2,0,4.83,True,54.5,327.0,0.06,0.13,0.15,4.99,0.005479452054794521,569.2191780821918
505,3225605,0.21000000000000002,False,De Pijp - Rivierenbuurt,52.35678,4.9056,Entire home/apt,4,2,4,19,516.0,3,14,True,3,1,4.36,False,129.0,1548.0,0.08,0.13,0.26,10.99,0.00821917808219178,2581.794520547945
506,3235970,0.43000000000000005,False,Centrum-Oost,52.37113,4.91338,Entire home/apt,4,2,4,2,220.0,3,365,True,0,4,4.48,True,55.0,660.0,0.07,0.23,0.25,4.99,0.7506849315068493,1110.3424657534247
507,3254077,0.0,False,De Baarsjes - Oud-West,52.36758,4.85489,Entire home/apt,2,1,1,5,100.0,30,30,True,0,0,4.92,False,50.0,3000.0,0.07,0.14,0.17,4.99,0.0,500.0
508,3260866,0.59,False,Osdorp,52.35969,4.79162,Entire home/apt,4,2,2,14,250.0,3,1125,True,20,2,4.54,False,62.5,750.0,0.1,0.26,0.2,4.99,0.9726027397260274,1250.0
509,3261562,0.07,False,Oostelijk Havengebied - Indische Buurt,52.36306,4.93611,Entire home/apt,2,1,1,5,99.0,4,1125,True,3,0,4.95,False,49.5,396.0,0.04,0.09,0.16,4.99,0.31232876712328766,499.1095890410959
510,3280939,0.22999999999999998,False,Zuid,52.35396,4.87842,Entire home/apt,5,3,4,11,345.0,4,4,True,0,1,4.86,False,69.0,1380.0,0.13,0.23,0.19,4.99,0.057534246575342465,1806.3013698630136
511,3282245,0.64,False,Oud-Noord,52.3867,4.91677,Entire home/apt,2,1,1,3,99.0,7,1125,True,0,1,4.86,True,49.5,693.0,0.04,0.13,0.14,4.99,0.0,495.0
512,3285009,0.9,False,De Pijp - Rivierenbuurt,52.35127,4.89384,Private room,2,1,1,4,90.0,3,14,True,3,1,4.6,False,45.0,270.0,0.06,0.12,0.14,4.99,0.410958904109589,420.972602739726
513,3285500,1.0,False,Oud-Oost,52.35884,4.93462,Entire home/apt,4,2,2,2,225.0,5,30,True,0,0,4.73,True,56.25,1125.0,0.07,0.19,0.25,4.99,0.03561643835616438,1125.0
516,3308196,0.95,False,Oud-Noord,52.38777,4.94446,Entire home/apt,4,2,3,3,175.0,3,19,True,0,0,4.77,False,43.75,525.0,0.07,0.16,0.22,4.99,0.024657534246575342,904.5068493150685
518,3322840,0.0,False,Zuid,52.35685,4.87343,Entire home/apt,4,2,5,19,399.0,4,4,True,0,1,4.72,False,99.75,1596.0,0.11,0.06,0.3,4.99,0.0027397260273972603,1995.0
519,3332424,0.02,False,Centrum-West,52.36815,4.88225,Entire home/apt,6,3,6,30,795.0,5,14,True,0,0,4.78,False,132.5,3975.0,0.13,0.17,0.22,10.99,0.0,3975.0
521,3347583,0.9099999999999999,True,De Pijp - Rivierenbuurt,52.35796,4.90026,Private room,4,1,2,3,100.0,3,1124,True,0,2,4.94,False,25.0,300.0,0.06,0.19,0.18,4.99,0.0,500.0
523,3388764,1.0,True,De Pijp - Rivierenbuurt,52.34718,4.88952,Private room,2,1,1,1,93.0,3,60,True,6,4,4.93,True,46.5,279.0,0.04,0.12,0.16,4.99,0.024657534246575342,418.7671232876712
524,3389300,0.95,False,De Pijp - Rivierenbuurt,52.35206,4.89746,Entire home/apt,2,1,1,4,135.0,6,32,True,0,1,4.89,False,67.5,810.0,0.07,0.19,0.17,4.99,0.0,737.8082191780821
525,3407896,0.29,False,Westerpark,52.37418,4.86866,Entire home/apt,4,2,2,6,160.0,3,6,True,0,0,4.54,False,40.0,480.0,0.08,0.19,0.18,4.99,0.0,757.7397260273973
527,3413219,0.0,False,Watergraafsmeer,52.35629,4.94228,Entire home/apt,4,2,2,5,150.0,5,1125,True,0,0,5.0,False,37.5,750.0,0.08,0.11,0.24,4.99,0.0,750.0
528,3430456,0.5,False,De Baarsjes - Oud-West,52.36099,4.85987,Entire home/apt,2,1,1,5,90.0,6,1125,True,0,0,4.57,False,45.0,540.0,0.05,0.13,0.15,4.99,0.0,480.2054794520548
529,3459981,1.0,False,De Baarsjes - Oud-West,52.36347,4.87314,Entire home/apt,4,2,3,5,245.0,3,21,True,2,1,4.98,False,61.25,735.0,0.07,0.21,0.25,4.99,0.057534246575342465,1235.6849315068494
530,3461086,0.44,False,Centrum-Oost,52.37296,4.90789,Entire home/apt,4,2,2,11,189.0,3,1125,True,0,0,4.79,False,47.25,567.0,0.08,0.11,0.2,4.99,0.0,945.0
531,3492282,0.2,False,De Baarsjes - Oud-West,52.36682,4.87356,Entire home/apt,2,1,1,9,80.0,5,1125,True,1,1,4.78,False,40.0,400.0,0.04,0.12,0.15,4.99,0.049315068493150684,400.0
532,3500433,0.9500000000000001,False,De Baarsjes - Oud-West,52.36604,4.86711,Entire home/apt,4,2,1,12,479.0,3,21,True,11,1,4.79,True,119.75,1437.0,0.13,0.2,0.39,10.99,0.4684931506849315,1737.0684931506848
533,3501084,0.030000000000000027,False,Centrum-West,52.37995,4.88577,Entire home/apt,4,2,2,5,250.0,3,6,True,10,0,4.74,False,62.5,750.0,0.17,0.28,0.23,4.99,0.1917808219178082,1266.4383561643835
534,3504128,0.1,False,Oud-Oost,52.35677,4.91537,Entire home/apt,2,1,1,12,250.0,4,1125,True,7,0,4.75,False,125.0,1000.0,0.08,0.06,0.28,4.99,0.2054794520547945,1250.0
535,3505002,0.49000000000000005,False,Zuid,52.35082,4.87572,Entire home/apt,4,2,4,8,200.0,5,30,True,0,0,4.83,False,50.0,1000.0,0.09,0.13,0.2,4.99,0.0,1000.0
536,3508800,0.8300000000000001,False,Watergraafsmeer,52.3331,4.903,Private room,2,1,1,4,65.0,5,180,True,0,0,4.3100000000000005,False,32.5,325.0,0.06,0.12,0.16,2.99,0.5342465753424658,278.3972602739726
538,3565477,0.64,False,Westerpark,52.39097,4.8777,Entire home/apt,4,2,3,9,186.0,3,14,True,0,3,4.92,False,46.5,558.0,0.07,0.21,0.2,4.99,0.07671232876712329,928.4931506849315
542,3590060,0.5900000000000001,False,Centrum-Oost,52.36908,4.90657,Entire home/apt,4,2,4,11,250.0,5,31,True,0,1,4.89,False,62.5,1250.0,0.09,0.1,0.31,4.99,0.0027397260273972603,1250.0
543,3604547,0.78,False,Westerpark,52.37479,4.87261,Entire home/apt,2,1,1,18,245.0,5,1125,True,0,2,4.93,False,122.5,1225.0,0.07,0.15,0.25,4.99,0.4273972602739726,1225.0
545,3690880,0.8200000000000001,True,Centrum-Oost,52.36829,4.92378,Private room,2,1,1,2,150.0,3,1125,True,6,4,4.93,False,75.0,450.0,0.07,0.2,0.14,4.99,0.3013698630136986,665.4109589041096
546,3696035,0.0,False,Oud-Noord,52.39729,4.91497,Entire home/apt,4,2,3,6,145.0,3,21,True,0,0,4.83,False,36.25,435.0,0.07,0.13,0.17,4.99,0.3917808219178082,725.0
547,3698780,0.16999999999999998,False,De Pijp - Rivierenbuurt,52.34176,4.89855,Entire home/apt,4,2,7,3,154.0,3,60,True,0,0,4.72,False,38.5,462.0,0.06,0.2,0.19,4.99,0.021917808219178082,770.0
548,3700218,1.0,False,Noord-West,52.41704,4.8996,Private room,2,1,1,1,75.0,3,1125,True,2,3,4.83,False,37.5,225.0,0.05,0.13,0.16,4.99,0.005479452054794521,375.0
549,3708105,0.25,False,De Baarsjes - Oud-West,52.37075,4.87471,Entire home/apt,4,2,4,4,138.0,5,1125,True,0,0,4.67,False,34.5,690.0,0.07,0.14,0.17,4.99,0.4246575342465753,713.5342465753424
550,3722301,1.0,True,Centrum-Oost,52.36342,4.88956,Entire home/apt,4,2,4,12,379.0,2,1124,True,1,4,4.98,True,94.75,758.0,0.1,0.18,0.21,4.99,0.547945205479452,1876.0958904109589
551,3724060,0.73,False,De Baarsjes - Oud-West,52.37131,4.87306,Entire home/apt,2,1,1,8,211.0,3,7,True,0,1,4.93,False,105.5,633.0,0.14,0.13,0.16,4.99,0.5452054794520548,1411.5753424657535
554,3758059,0.69,False,De Pijp - Rivierenbuurt,52.34751,4.89073,Entire home/apt,4,2,4,5,115.0,7,365,True,0,0,4.57,False,28.75,805.0,0.07,0.09,0.19,4.99,0.0,575.0
555,3763507,1.0,True,Centrum-West,52.38371,4.89072,Private room,2,1,1,4,136.0,3,31,True,3,4,5.0,True,68.0,408.0,0.04,0.06,0.19,4.99,0.13424657534246576,655.2054794520548
556,3763895,1.0,True,De Baarsjes - Oud-West,52.3619,4.86415,Private room,2,1,1,2,76.0,3,13,True,2,2,4.75,True,38.0,228.0,0.05,0.11,0.15,4.99,0.03561643835616438,384.6849315068493
559,3793956,0.0,False,Westerpark,52.38234,4.8794,Entire home/apt,4,2,3,17,525.0,3,10,True,0,0,4.46,True,131.25,1575.0,0.12,0.16,0.24,10.99,0.13972602739726028,2627.7123287671234
561,3804795,0.33,False,De Baarsjes - Oud-West,52.36202,4.86377,Entire home/apt,2,1,1,10,279.0,5,60,True,0,1,5.0,False,139.5,1395.0,0.1,0.15,0.3,4.99,0.3917808219178082,1398.7260273972602
563,3829648,0.79,False,Centrum-West,52.37385,4.88359,Entire home/apt,4,2,5,20,489.0,7,150,True,4,0,4.58,True,122.25,3423.0,0.11,0.18,0.3,10.99,0.4,3296.698630136986
566,3840321,1.0,True,Oud-Oost,52.35772,4.90668,Private room,2,1,1,5,75.0,4,14,True,4,2,4.9,False,37.5,300.0,0.05,0.11,0.16,4.99,0.052054794520547946,377.32876712328766
567,3841266,0.5,False,De Baarsjes - Oud-West,52.36112,4.86083,Entire home/apt,2,1,1,12,300.0,18,1125,True,5,0,4.97,False,150.0,5400.0,0.05,0.12,0.13,4.99,0.09041095890410959,1500.0
568,3850766,1.0,False,IJburg - Zeeburgereiland,52.36321,4.98414,Private room,3,1,2,9,95.0,3,90,True,2,5,4.78,False,31.67,285.0,0.06,0.11,0.14,4.99,0.021917808219178082,488.67123287671234
569,3853993,0.1,False,Oud-Noord,52.3863,4.92014,Entire home/apt,4,2,2,7,125.0,3,1125,True,0,1,4.76,False,31.25,375.0,0.07,0.08,0.17,4.99,0.005479452054794521,730.4794520547945
570,3856186,0.32999999999999996,False,Centrum-West,52.38789,4.88825,Entire home/apt,4,2,2,12,275.0,5,30,True,4,1,4.96,False,68.75,1375.0,0.14,0.23,0.3,4.99,0.43561643835616437,1471.123287671233
571,3856777,1.0,False,De Baarsjes - Oud-West,52.36454,4.87213,Entire home/apt,2,1,1,13,222.0,5,1125,True,1,0,4.88,False,111.0,1110.0,0.06,0.16,0.19,4.99,0.11232876712328767,1115.8219178082193
573,3879930,0.030000000000000027,False,Centrum-Oost,52.37171,4.93199,Entire home/apt,4,2,3,13,325.0,3,14,True,1,2,4.9,False,81.25,975.0,0.09,0.29,0.24,4.99,0.043835616438356165,1625.0
577,3911407,0.5599999999999999,True,Centrum-West,52.37943,4.89126,Entire home/apt,4,2,2,6,192.0,7,1125,True,13,1,4.93,False,48.0,1344.0,0.07,0.17,0.21,4.99,0.5232876712328767,825.6986301369863
578,3917964,0.27,False,Oud-Oost,52.35926,4.92586,Entire home/apt,2,1,2,11,296.0,3,1125,True,20,0,4.88,False,148.0,888.0,0.12,0.29,0.18,4.99,0.9452054794520548,1481.986301369863
579,3926355,1.0,False,Oostelijk Havengebied - Indische Buurt,52.3711,4.94023,Private room,4,1,3,8,189.0,3,1125,True,2,7,4.72,True,47.25,567.0,0.1,0.18,0.16,4.99,0.23835616438356164,1037.6438356164383
580,3929712,1.0,True,Centrum-West,52.3773,4.89475,Private room,2,1,1,8,87.0,3,40,True,1,3,4.89,False,43.5,261.0,0.04,0.15,0.15,4.99,0.2465753424657534,477.5342465753425
581,3938749,0.25,False,Buitenveldert - Zuidas,52.32487,4.85825,Entire home/apt,2,1,1,7,110.0,3,1125,True,0,0,4.83,False,55.0,330.0,0.07,0.16,0.16,4.99,0.005479452054794521,550.0
583,3955896,0.0,False,De Baarsjes - Oud-West,52.35986,4.86332,Entire home/apt,2,1,1,4,106.0,2,1125,True,0,0,4.8,False,53.0,212.0,0.07,0.13,0.17,4.99,0.057534246575342465,528.4931506849315
586,3974283,0.47,False,De Pijp - Rivierenbuurt,52.34998,4.89492,Entire home/apt,2,1,1,5,125.0,3,1125,True,0,3,4.92,False,62.5,375.0,0.06,0.19,0.15,4.99,0.4246575342465753,625.0
587,3982031,1.0,True,Centrum-Oost,52.36239,4.89859,Entire home/apt,2,1,1,7,137.0,5,1125,True,4,4,4.93,False,68.5,685.0,0.06,0.17,0.13,4.99,0.2273972602739726,685.7534246575342
588,4011762,0.33,True,Centrum-West,52.38364,4.88563,Entire home/apt,6,3,3,9,225.0,7,180,True,6,2,4.67,False,37.5,1575.0,0.09,0.22,0.18,4.99,0.6301369863013698,892.8082191780821
589,4029316,0.36,False,Zuid,52.35098,4.8861,Entire home/apt,2,1,1,7,153.0,7,90,True,0,0,4.81,False,76.5,1071.0,0.07,0.19,0.22,4.99,0.0,764.2465753424658
590,4035170,1.0,True,Centrum-West,52.3778,4.88626,Entire home/apt,4,2,2,9,240.0,3,365,True,1,0,4.9,True,60.0,720.0,0.09,0.14,0.21,4.99,0.4794520547945205,1204.86301369863
591,4043288,0.94,True,Centrum-West,52.37808,4.89456,Private room,1,1,1,1,82.0,3,300,True,0,0,4.56,True,82.0,246.0,0.06,0.12,0.14,4.99,0.0,409.24657534246575
593,4052965,0.8,True,De Pijp - Rivierenbuurt,52.35099,4.88663,Private room,2,1,1,1,111.0,3,90,True,0,3,4.72,True,55.5,333.0,0.05,0.11,0.14,4.99,0.21643835616438356,619.0958904109589
594,4057394,0.0,False,Centrum-Oost,52.36706,4.92487,Entire home/apt,4,2,2,10,157.0,10,30,True,0,0,4.83,False,39.25,1570.0,0.06,0.18,0.22,4.99,0.0958904109589041,785.6164383561644
595,4062563,0.0,False,Zuid,52.35497,4.85051,Entire home/apt,3,2,1,6,199.0,4,14,True,5,0,4.94,False,66.33,796.0,0.07,0.16,0.21,4.99,0.18904109589041096,995.0
599,4147668,0.75,True,Oud-Oost,52.36204,4.92375,Private room,2,1,1,7,75.0,14,1125,True,3,1,4.82,False,37.5,1050.0,0.04,0.1,0.15,4.99,0.2547945205479452,364.35616438356163
601,4150731,1.0,False,Oud-Oost,52.34935,4.91202,Entire home/apt,2,1,1,13,196.0,2,5,True,0,2,4.87,False,98.0,392.0,0.07,0.17,0.2,4.99,0.00821917808219178,684.7945205479452
602,4157853,1.0,True,Centrum-West,52.37313,4.89652,Private room,2,1,1,7,180.0,2,1125,True,2,5,4.96,False,90.0,360.0,0.06,0.21,0.21,4.99,0.5452054794520548,804.5342465753424
603,4158675,1.0,False,Oud-Oost,52.35832,4.92368,Entire home/apt,2,1,1,7,128.0,2,15,True,0,0,5.0,False,64.0,256.0,0.05,0.14,0.14,4.99,0.0410958904109589,749.945205479452
604,4162988,1.0,False,Bos en Lommer,52.38182,4.84981,Entire home/apt,4,2,2,9,185.0,5,1125,True,0,1,5.0,True,46.25,925.0,0.08,0.2,0.27,4.99,0.01643835616438356,972.7397260273973
607,4185598,0.8200000000000001,False,De Baarsjes - Oud-West,52.36744,4.86625,Entire home/apt,4,2,1,13,250.0,3,21,True,0,0,4.93,False,62.5,750.0,0.11,0.22,0.15,4.99,0.0,1250.0
608,4187658,0.36,False,Centrum-West,52.36957,4.88305,Entire home/apt,4,2,3,11,289.0,4,30,True,2,1,4.8,False,72.25,1156.0,0.08,0.21,0.2,4.99,0.005479452054794521,1446.2328767123288
609,4209897,0.49000000000000005,False,Zuid,52.35302,4.87571,Entire home/apt,7,4,5,16,425.0,3,1125,True,0,1,4.74,True,60.71,1275.0,0.07,0.21,0.26,10.99,0.38904109589041097,2145.5479452054797
611,4216576,0.42000000000000004,False,Oud-Noord,52.39293,4.93417,Entire home/apt,4,2,3,8,175.0,3,1125,True,0,1,5.0,False,43.75,525.0,0.06,0.2,0.25,4.99,0.0,875.0
613,4224540,0.8999999999999999,True,De Pijp - Rivierenbuurt,52.34104,4.9039,Private room,4,1,2,6,100.0,2,10,True,5,5,4.88,True,25.0,200.0,0.07,0.15,0.19,4.99,0.26575342465753427,525.1369863013699
615,4248769,0.81,True,Centrum-Oost,52.36992,4.90279,Private room,2,1,1,9,153.0,3,15,True,3,4,4.88,True,76.5,459.0,0.05,0.18,0.17,4.99,0.1589041095890411,754.1095890410959
620,4282415,0.15,False,Centrum-West,52.37713,4.8821,Entire home/apt,4,2,3,11,232.0,3,1125,True,1,0,4.87,False,58.0,696.0,0.1,0.22,0.21,4.99,0.4849315068493151,1128.0821917808219
623,4299280,0.7000000000000001,False,Centrum-Oost,52.3624,4.8935,Entire home/apt,4,2,3,5,185.0,3,15,True,0,0,4.7,False,46.25,555.0,0.07,0.21,0.22,4.99,0.0027397260273972603,1290.8082191780823
624,4320334,0.5,False,Oud-Oost,52.35637,4.91604,Entire home/apt,2,1,1,5,100.0,3,30,True,0,1,4.89,False,50.0,300.0,0.07,0.18,0.15,4.99,0.0,564.8767123287671
625,4374040,0.45999999999999996,False,Zuid,52.35471,4.85546,Entire home/apt,3,2,1,5,108.0,4,31,True,0,0,4.86,False,36.0,432.0,0.08,0.1,0.15,4.99,0.0,539.3013698630137
627,4382235,0.6,False,De Pijp - Rivierenbuurt,52.35398,4.90484,Entire home/apt,4,2,1,12,189.0,3,22,True,3,0,4.82,False,47.25,567.0,0.06,0.2,0.19,4.99,0.00821917808219178,889.2602739726027
628,4386276,0.14,False,Oud-Oost,52.35296,4.91147,Entire home/apt,2,1,1,5,135.0,7,30,True,4,0,4.94,False,67.5,945.0,0.06,0.15,0.18,4.99,0.01643835616438356,676.0958904109589
630,4416539,1.0,False,Slotervaart,52.35382,4.82938,Entire home/apt,3,2,3,4,109.0,2,1125,True,3,1,4.62,False,36.33,218.0,0.07,0.07,0.2,4.99,0.00821917808219178,593.2602739726027
632,4435968,1.0,False,Watergraafsmeer,52.34703,4.93908,Entire home/apt,2,1,2,7,223.0,3,14,True,13,1,4.86,True,111.5,669.0,0.09,0.25,0.26,4.99,0.9205479452054794,2331.6164383561645
633,4445818,0.69,False,De Pijp - Rivierenbuurt,52.354,4.90514,Entire home/apt,4,2,2,10,207.0,3,1125,True,7,0,4.6,False,51.75,621.0,0.09,0.13,0.23,4.99,0.13150684931506848,922.8630136986301
634,4448285,0.67,False,De Baarsjes - Oud-West,52.36693,4.8656,Entire home/apt,2,1,1,10,150.0,3,20,True,0,0,4.96,False,75.0,450.0,0.07,0.19,0.18,4.99,0.0,750.0
635,4455237,0.36,False,De Baarsjes - Oud-West,52.36988,4.86253,Entire home/apt,5,3,3,10,145.0,5,14,True,0,0,4.14,False,29.0,725.0,0.07,0.13,0.14,4.99,0.038356164383561646,669.3150684931506
637,4467898,0.0,False,IJburg - Zeeburgereiland,52.35737,4.98163,Entire home/apt,4,2,5,11,280.0,3,15,True,3,0,4.75,False,70.0,840.0,0.1,0.26,0.27,4.99,0.4602739726027397,1400.0
638,4487975,0.0,False,Oud-Oost,52.35858,4.92583,Entire home/apt,2,1,1,5,105.0,5,1125,True,0,0,4.88,False,52.5,525.0,0.05,0.12,0.17,4.99,0.4246575342465753,525.0
639,4488692,0.76,True,Centrum-Oost,52.36441,4.88599,Private room,4,1,4,8,220.0,4,60,True,3,8,4.91,True,55.0,880.0,0.07,0.22,0.21,4.99,0.5863013698630137,1104.9041095890411
640,4523624,0.55,False,Zuid,52.35589,4.87728,Entire home/apt,4,2,3,10,300.0,4,7,True,1,1,4.78,False,75.0,1200.0,0.1,0.22,0.21,4.99,0.4438356164383562,1500.0
641,4530308,0.0,False,Watergraafsmeer,52.34446,4.95261,Entire home/apt,6,3,6,13,225.0,3,1125,True,0,0,4.83,False,37.5,675.0,0.1,0.21,0.25,4.99,0.010958904109589041,1125.0
644,4590871,0.24999999999999994,False,De Pijp - Rivierenbuurt,52.35706,4.89405,Entire home/apt,2,1,1,6,206.0,3,1125,True,0,0,4.95,False,103.0,618.0,0.07,0.21,0.23,4.99,0.0,1043.6301369863013
645,4591192,0.67,False,De Pijp - Rivierenbuurt,52.35643,4.90409,Private room,3,1,2,4,121.0,3,8,True,1,2,4.88,False,40.33,363.0,0.08,0.14,0.17,4.99,0.019178082191780823,617.4109589041096
646,4591819,0.6300000000000001,False,De Pijp - Rivierenbuurt,52.35289,4.90646,Private room,2,1,1,9,89.0,3,1125,True,4,6,4.84,False,44.5,267.0,0.05,0.11,0.16,4.99,0.7643835616438356,445.0
648,4614017,0.5800000000000001,True,Westerpark,52.392,4.88118,Entire home/apt,16,8,16,26,729.0,3,1125,True,11,0,4.619999999999999,True,45.56,2187.0,0.12,0.15,0.32,10.99,0.6273972602739726,3730.5205479452056
649,4616816,0.72,False,De Pijp - Rivierenbuurt,52.35391,4.90603,Entire home/apt,4,2,3,8,164.0,3,16,True,0,0,4.6,False,41.0,492.0,0.07,0.16,0.19,4.99,0.0,821.2328767123288
651,4635416,0.9299999999999999,True,Centrum-Oost,52.36425,4.89931,Private room,2,1,2,1,68.0,2,14,True,4,2,4.33,False,34.0,136.0,0.06,0.14,0.15,2.99,0.021917808219178082,316.6164383561644
